== vae_miniwan_womd: miniwan, 5.60M params, world 4, per-rank batch 6 x accum 1 = effective 24; 1666 steps/epoch, 83300 steps total
{"VAE_ZDIM": 16, "VAE_DIM": 20, "VAE_NUM_RES_BLOCKS": 2, "VAE_INPUT_NORM": true, "INPUT_NORM_MEAN": [0.6014379089315451, 0.6051588518894708, 0.6036423582790911], "INPUT_NORM_STD": [0.08911796400949443, 0.08588843954384612, 0.1257365217955014], "VAE_DROPOUT": 0.1, "VAE_STREAMING": false, "FRAMES": 33, "IMG": 96, "FPS": 7, "DATASET": "womd_7hz_f33", "INIT": "miniwan", "EPOCHS": 50, "EFFECTIVE_BATCH": 24, "VAE_LR": 0.0002, "VAE_LR_END": 1e-06, "WARMUP_FRAC": 0.1, "VAE_WD": 1e-05, "KL_W": 0.0003, "KL_WARM_FRAC": 0.1, "VAE_LPIPS_W": 0.05, "VAE_LPIPS_NET": "alex", "GRAD_CLIP": 1.0, "PRECISION": "bf16", "SEED": 0}
[vae_miniwan_womd] ep   0 (init) val PSNR 5.142 LPIPS 0.8628 MSE 0.306638
  step 3800 (468/1666 this epoch) | 489 ms/step | ~10 min left in epoch | rec 0.00284 lpips 0.0894 lr 9.12e-05
  step 3900 (568/1666 this epoch) | 489 ms/step | ~9 min left in epoch | rec 0.00283 lpips 0.0885 lr 9.36e-05
  step 4000 (668/1666 this epoch) | 489 ms/step | ~8 min left in epoch | rec 0.00281 lpips 0.0877 lr 9.60e-05
  step 4100 (768/1666 this epoch) | 489 ms/step | ~7 min left in epoch | rec 0.00279 lpips 0.0867 lr 9.84e-05
  step 4200 (868/1666 this epoch) | 489 ms/step | ~7 min left in epoch | rec 0.00278 lpips 0.0860 lr 1.01e-04
  step 4300 (968/1666 this epoch) | 489 ms/step | ~6 min left in epoch | rec 0.00276 lpips 0.0852 lr 1.03e-04
  step 4400 (1068/1666 this epoch) | 489 ms/step | ~5 min left in epoch | rec 0.00275 lpips 0.0844 lr 1.06e-04
  step 4500 (1168/1666 this epoch) | 490 ms/step | ~4 min left in epoch | rec 0.00274 lpips 0.0837 lr 1.08e-04
  step 4600 (1268/1666 this epoch) | 490 ms/step | ~3 min left in epoch | rec 0.00272 lpips 0.0831 lr 1.10e-04
  step 4700 (1368/1666 this epoch) | 490 ms/step | ~2 min left in epoch | rec 0.00271 lpips 0.0825 lr 1.13e-04
  step 4800 (1468/1666 this epoch) | 490 ms/step | ~2 min left in epoch | rec 0.00269 lpips 0.0819 lr 1.15e-04
